date,daOfWeek,holidayName,productName,quantity,price
2012/7/24,Tue,,赤城　ガリガリ君ソーダ　１１３ｍｌ,15,945
2012/7/25,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,25,1575
2012/7/26,Thu,,赤城　ガリガリ君ソーダ　１１３ｍｌ,32,2016
2012/7/27,Fri,,赤城　ガリガリ君ソーダ　１１３ｍｌ,17,1071
2012/7/28,Sat,,赤城　ガリガリ君ソーダ　１１３ｍｌ,24,1056
2012/7/29,Sun,,赤城　ガリガリ君ソーダ　１１３ｍｌ,39,2393
2012/7/30,Mon,,赤城　ガリガリ君ソーダ　１１３ｍｌ,23,1449
2012/7/31,Tue,,赤城　ガリガリ君ソーダ　１１３ｍｌ,28,1764
2012/8/1,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,16,1008
2012/8/2,Thu,,赤城　ガリガリ君ソーダ　１１３ｍｌ,25,1575
2012/8/3,Fri,,赤城　ガリガリ君ソーダ　１１３ｍｌ,24,1512
2012/8/4,Sat,,赤城　ガリガリ君ソーダ　１１３ｍｌ,30,1500
2012/8/5,Sun,,赤城　ガリガリ君ソーダ　１１３ｍｌ,21,1050
2012/8/6,Mon,,赤城　ガリガリ君ソーダ　１１３ｍｌ,15,750
2012/8/7,Tue,,赤城　ガリガリ君ソーダ　１１３ｍｌ,22,1100
2012/8/8,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,21,1323
2012/8/9,Thu,,赤城　ガリガリ君ソーダ　１１３ｍｌ,13,819
2012/8/10,Fri,,赤城　ガリガリ君ソーダ　１１３ｍｌ,11,693
2012/8/11,Sat,,赤城　ガリガリ君ソーダ　１１３ｍｌ,16,800
2012/8/12,Sun,,赤城　ガリガリ君ソーダ　１１３ｍｌ,25,1250
2012/8/13,Mon,,赤城　ガリガリ君ソーダ　１１３ｍｌ,31,1550
2012/8/14,Tue,,赤城　ガリガリ君ソーダ　１１３ｍｌ,19,950
2012/8/15,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,18,1114
2012/8/16,Thu,,赤城　ガリガリ君ソーダ　１１３ｍｌ,18,1134
2012/8/17,Fri,,赤城　ガリガリ君ソーダ　１１３ｍｌ,8,504
2012/8/18,Sat,,赤城　ガリガリ君ソーダ　１１３ｍｌ,20,1000
2012/8/19,Sun,,赤城　ガリガリ君ソーダ　１１３ｍｌ,44,2200
2012/8/20,Mon,,赤城　ガリガリ君ソーダ　１１３ｍｌ,26,1300
2012/8/21,Tue,,赤城　ガリガリ君ソーダ　１１３ｍｌ,27,1350
2012/8/22,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,24,1512
2012/8/23,Thu,,赤城　ガリガリ君ソーダ　１１３ｍｌ,23,1449
2012/8/24,Fri,,赤城　ガリガリ君ソーダ　１１３ｍｌ,21,1323
2012/8/25,Sat,,赤城　ガリガリ君ソーダ　１１３ｍｌ,32,1408
2012/8/26,Sun,,赤城　ガリガリ君ソーダ　１１３ｍｌ,18,1102
2012/8/27,Mon,,赤城　ガリガリ君ソーダ　１１３ｍｌ,26,1578
2012/8/28,Tue,,赤城　ガリガリ君ソーダ　１１３ｍｌ,8,504
2012/8/29,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,38,1900
2012/8/30,Thu,,赤城　ガリガリ君ソーダ　１１３ｍｌ,24,1200
2012/8/31,Fri,,赤城　ガリガリ君ソーダ　１１３ｍｌ,29,1450
2012/9/1,Sat,,赤城　ガリガリ君ソーダ　１１３ｍｌ,18,900
2012/9/2,Sun,,赤城　ガリガリ君ソーダ　１１３ｍｌ,30,1500
2012/9/3,Mon,,赤城　ガリガリ君ソーダ　１１３ｍｌ,24,1512
2012/9/4,Tue,,赤城　ガリガリ君ソーダ　１１３ｍｌ,18,1134
2012/9/5,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,15,945
2012/9/6,Thu,,赤城　ガリガリ君ソーダ　１１３ｍｌ,17,1071
2012/9/7,Fri,,赤城　ガリガリ君ソーダ　１１３ｍｌ,28,1764
2012/9/8,Sat,,赤城　ガリガリ君ソーダ　１１３ｍｌ,18,1134
2012/9/9,Sun,,赤城　ガリガリ君ソーダ　１１３ｍｌ,33,2079
2012/9/10,Mon,,赤城　ガリガリ君ソーダ　１１３ｍｌ,26,1638
2012/9/11,Tue,,赤城　ガリガリ君ソーダ　１１３ｍｌ,22,1386
2012/9/12,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,25,1575
2012/9/13,Thu,,赤城　ガリガリ君ソーダ　１１３ｍｌ,26,1638
2012/9/14,Fri,,赤城　ガリガリ君ソーダ　１１３ｍｌ,15,747
2012/9/15,Sat,,赤城　ガリガリ君ソーダ　１１３ｍｌ,45,2148
2012/9/16,Sun,,赤城　ガリガリ君ソーダ　１１３ｍｌ,59,2950
2012/9/17,Mon,敬老の日,赤城　ガリガリ君ソーダ　１１３ｍｌ,16,800
2012/9/18,Tue,,赤城　ガリガリ君ソーダ　１１３ｍｌ,16,1008
2012/9/19,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,8,504
2012/9/20,Thu,,赤城　ガリガリ君ソーダ　１１３ｍｌ,13,819
2012/9/21,Fri,,赤城　ガリガリ君ソーダ　１１３ｍｌ,8,504
2012/9/22,Sat,秋分の日,赤城　ガリガリ君ソーダ　１１３ｍｌ,15,945
2012/9/23,Sun,,赤城　ガリガリ君ソーダ　１１３ｍｌ,13,819
2012/9/24,Mon,,赤城　ガリガリ君ソーダ　１１３ｍｌ,9,567
2012/9/25,Tue,,赤城　ガリガリ君ソーダ　１１３ｍｌ,4,252
2012/9/26,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,20,1260
2012/9/27,Thu,,赤城　ガリガリ君ソーダ　１１３ｍｌ,1,63
2012/9/28,Fri,,赤城　ガリガリ君ソーダ　１１３ｍｌ,10,630
2012/9/29,Sat,,赤城　ガリガリ君ソーダ　１１３ｍｌ,22,923
2012/9/30,Sun,,赤城　ガリガリ君ソーダ　１１３ｍｌ,20,1248
2012/10/1,Mon,,赤城　ガリガリ君ソーダ　１１３ｍｌ,16,1008
